STN,YYYYMMDD,TN
240,20180101,   56
240,20180102,   37
240,20180103,   58
240,20180104,   69
240,20180105,   33
240,20180106,   15
240,20180107,   -8
240,20180108,  -13
240,20180109,   -4
240,20180110,   53
240,20180111,   38
240,20180112,   38
240,20180113,   27
240,20180114,   10
240,20180115,   24
240,20180116,   29
240,20180117,   18
240,20180118,   19
240,20180119,   12
240,20180120,  -10
240,20180121,    3
240,20180122,   23
240,20180123,   32
240,20180124,   70
240,20180125,   42
240,20180126,   24
240,20180127,    7
240,20180128,   79
240,20180129,   33
240,20180130,   17
240,20180131,   27
240,20180201,   23
240,20180202,  -15
240,20180203,  -14
240,20180204,    4
240,20180205,  -22
240,20180206,  -47
240,20180207,  -60
240,20180208,  -28
240,20180209,   -9
240,20180210,    6
240,20180211,   22
240,20180212,   -1
240,20180213,   -9
240,20180214,  -20
240,20180215,    4
240,20180216,  -25
240,20180217,  -21
240,20180218,  -29
240,20180219,   -4
240,20180220,  -37
240,20180221,  -33
240,20180222,  -21
240,20180223,  -28
240,20180224,  -30
240,20180225,  -47
240,20180226,  -51
240,20180227,  -58
240,20180228,  -87
240,20180301,  -85
240,20180302,  -71
240,20180303,  -48
240,20180304,  -21
240,20180305,   28
240,20180306,    6
240,20180307,   34
240,20180308,   13
240,20180309,   11
240,20180310,   68
240,20180311,   53
240,20180312,   54
240,20180313,   41
240,20180314,   -2
240,20180315,   31
240,20180316,    3
240,20180317,  -24
240,20180318,  -29
240,20180319,  -33
240,20180320,   -6
240,20180321,  -36
240,20180322,   45
240,20180323,   39
240,20180324,   23
240,20180325,    3
240,20180326,   -7
240,20180327,   13
240,20180328,   29
240,20180329,   16
240,20180330,   55
240,20180331,   26
240,20180401,   13
240,20180402,   12
240,20180403,   82
240,20180404,   74
240,20180405,   14
240,20180406,   17
240,20180407,   80
240,20180408,   81
240,20180409,   83
240,20180410,  101
240,20180411,   88
240,20180412,   66
240,20180413,   60
240,20180414,   71
240,20180415,   93
240,20180416,   55
240,20180417,   50
240,20180418,   74
240,20180419,  135
240,20180420,   97
240,20180421,   78
240,20180422,  107
